date,open,high,low,close,volume,datetime
2/2/2022 6:30,174.75,175.1647,173.95,175.1049,2668154,1.64E+12
2/2/2022 6:35,175.09,175.47,174.77,175.14,1637975,1.64E+12
2/2/2022 6:40,175.15,175.315,174.36,174.59,1487771,1.64E+12
2/2/2022 6:45,174.61,174.7248,173.94,173.97,1206669,1.64E+12
2/2/2022 6:50,173.98,174.57,173.9601,174.565,878474,1.64E+12
2/2/2022 6:55,174.56,174.74,174.02,174.7,844266,1.64E+12
2/2/2022 7:00,174.71,175.22,174.69,174.9721,1229892,1.64E+12
2/2/2022 7:05,174.97,175.42,174.8301,175.31,998908,1.64E+12
2/2/2022 7:10,175.325,175.56,174.9,175.02,1096906,1.64E+12
2/2/2022 7:15,175.03,175.14,174.56,174.78,1089273,1.64E+12
2/2/2022 7:20,174.79,175.06,174.53,174.71,674425,1.64E+12
2/2/2022 7:25,174.71,175.13,174.62,175.03,699979,1.64E+12
2/2/2022 7:30,175.04,175.14,174.61,174.675,555302,1.64E+12
2/2/2022 7:35,174.675,175.22,174.33,175.1699,1049572,1.64E+12
2/2/2022 7:40,175.16,175.17,174.8049,174.87,747756,1.64E+12
2/2/2022 7:45,174.86,175.18,174.56,174.8632,775553,1.64E+12
2/2/2022 7:50,174.86,174.99,174.33,174.55,655206,1.64E+12
2/2/2022 7:55,174.57,174.76,174.42,174.69,659920,1.64E+12
2/2/2022 8:00,174.69,174.88,174.12,174.3299,694824,1.64E+12
2/2/2022 8:05,174.3267,174.59,174.23,174.28,623894,1.64E+12
2/2/2022 8:10,174.26,174.45,173.9,173.93,938349,1.64E+12
2/2/2022 8:15,173.96,174.04,173.735,173.74,754070,1.64E+12
2/2/2022 8:20,173.74,174.15,173.73,173.88,619173,1.64E+12
2/2/2022 8:25,173.88,174.26,173.81,173.9321,577818,1.64E+12
2/2/2022 8:30,173.945,173.945,173.56,173.7345,647751,1.64E+12
2/2/2022 8:35,173.74,173.9,173.33,173.54,676946,1.64E+12
2/2/2022 8:40,173.55,173.99,173.4687,173.8899,522445,1.64E+12
2/2/2022 8:45,173.8877,174.27,173.7369,173.96,626113,1.64E+12
2/2/2022 8:50,173.98,174.22,173.9,174.09,376319,1.64E+12
2/2/2022 8:55,174.09,174.38,174.01,174.365,432191,1.64E+12
2/2/2022 9:00,174.3638,174.3767,174.06,174.09,430728,1.64E+12
2/2/2022 9:05,174.1,174.81,174.09,174.7772,592557,1.64E+12
2/2/2022 9:10,174.765,174.84,174.56,174.69,448301,1.64E+12
2/2/2022 9:15,174.69,174.75,174.3632,174.4864,445126,1.64E+12
