date,open,high,low,close,volume,datetime
2022-02-02 06:30:00,258.01,258.01,249.76,251.99,2231036,1643812200000
2022-02-02 06:35:00,252.04,257.13,251.0,255.27,1489880,1643812500000
2022-02-02 06:40:00,255.27,255.3799,250.5,251.82,1264817,1643812800000
2022-02-02 06:45:00,251.8002,252.96,249.39,249.5399,908845,1643813100000
2022-02-02 06:50:00,249.4844,253.15,249.43,253.14,923711,1643813400000
2022-02-02 06:55:00,253.115,254.5,252.32,253.01,731503,1643813700000
2022-02-02 07:00:00,253.02,256.1,252.7,255.7999,818243,1643814000000
2022-02-02 07:05:00,255.78,258.17,255.35,257.18,843700,1643814300000
2022-02-02 07:10:00,257.1668,257.5699,254.19,255.2,809937,1643814600000
2022-02-02 07:15:00,255.24,255.51,253.4501,254.15,729016,1643814900000
2022-02-02 07:20:00,254.1544,254.97,252.8,253.1616,598901,1643815200000
2022-02-02 07:25:00,253.123,254.0758,252.48,253.55,510646,1643815500000
2022-02-02 07:30:00,253.6,254.275,252.4122,252.5398,428867,1643815800000
2022-02-02 07:35:00,252.43,253.59,251.43,253.2748,545451,1643816100000
2022-02-02 07:40:00,253.2601,253.33,251.5001,253.05,492832,1643816400000
2022-02-02 07:45:00,252.9836,253.98,252.3,253.3601,475670,1643816700000
2022-02-02 07:50:00,253.4499,253.69,251.28,251.88,382042,1643817000000
2022-02-02 07:55:00,251.9116,252.19,251.14,251.98,393168,1643817300000
2022-02-02 08:00:00,251.87,252.45,249.7876,249.877,651334,1643817600000
2022-02-02 08:05:00,249.88,250.9721,249.35,249.5999,471631,1643817900000
2022-02-02 08:10:00,249.51,249.78,247.2401,247.42,638555,1643818200000
2022-02-02 08:15:00,247.44,248.57,246.98,248.1,582573,1643818500000
2022-02-02 08:20:00,248.06,249.34,247.97,248.9501,520043,1643818800000
2022-02-02 08:25:00,248.9585,249.47,247.96,248.25,443451,1643819100000
2022-02-02 08:30:00,248.25,248.42,246.89,246.9034,394146,1643819400000
2022-02-02 08:35:00,246.9703,247.39,245.5301,245.85,535939,1643819700000
2022-02-02 08:40:00,245.97,246.76,245.68,246.53,400568,1643820000000
2022-02-02 08:45:00,246.535,247.78,245.98,246.9501,378887,1643820300000
2022-02-02 08:50:00,247.0,248.36,246.681,247.66,403191,1643820600000
2022-02-02 08:55:00,247.675,248.2,247.33,247.9699,264847,1643820900000
2022-02-02 09:00:00,247.91,247.97,246.8,246.92,306754,1643821200000
2022-02-02 09:05:00,247.0099,249.35,247.0041,249.2001,383172,1643821500000
2022-02-02 09:10:00,249.24,250.21,249.13,249.78,428908,1643821800000
2022-02-02 09:15:00,249.77,250.15,248.43,248.8599,382505,1643822100000
2022-02-02 09:20:00,248.8795,249.2917,248.38,248.47,235641,1643822400000
2022-02-02 09:25:00,248.5295,248.7,247.64,247.82,253038,1643822700000
2022-02-02 09:30:00,247.9339,248.25,247.3501,248.1,218886,1643823000000
2022-02-02 09:35:00,248.0676,248.9,247.7274,248.74,221661,1643823300000
2022-02-02 09:40:00,248.72,249.65,248.61,249.59,242385,1643823600000
2022-02-02 09:45:00,249.608,250.29,249.46,249.73,383875,1643823900000
2022-02-02 09:50:00,249.68,250.43,249.53,250.15,232409,1643824200000
2022-02-02 09:55:00,250.11,251.28,249.65,251.1884,425542,1643824500000
2022-02-02 10:00:00,251.16,251.59,250.51,250.52,453353,1643824800000
2022-02-02 10:05:00,250.547,250.98,249.99,249.99,276079,1643825100000
2022-02-02 10:10:00,250.03,250.5,249.32,250.4387,262508,1643825400000
2022-02-02 10:15:00,250.44,251.43,250.315,250.6674,244974,1643825700000
2022-02-02 10:20:00,250.77,251.18,249.7966,249.97,228205,1643826000000
2022-02-02 10:25:00,250.04,250.12,249.42,249.825,243889,1643826300000
2022-02-02 10:30:00,249.8,250.1873,249.59,249.8418,189950,1643826600000
2022-02-02 10:35:00,249.85,250.43,249.8006,250.33,250102,1643826900000
2022-02-02 10:40:00,250.3299,250.57,249.42,249.735,270155,1643827200000
2022-02-02 10:45:00,249.7391,250.05,249.0321,249.09,245245,1643827500000
2022-02-02 10:50:00,249.065,249.49,249.02,249.2336,165736,1643827800000
2022-02-02 10:55:00,249.1831,249.72,248.8601,249.29,220295,1643828100000
2022-02-02 11:00:00,249.29,250.74,249.26,250.5299,305790,1643828400000
2022-02-02 11:05:00,250.51,250.64,249.7,250.0,239625,1643828700000
2022-02-02 11:10:00,250.04,250.7499,249.16,249.36,258386,1643829000000
2022-02-02 11:15:00,249.5292,250.1199,248.6301,249.945,274860,1643829300000
2022-02-02 11:20:00,249.89,249.96,248.65,248.8,212482,1643829600000
2022-02-02 11:25:00,248.75,249.67,248.18,249.42,267362,1643829900000
2022-02-02 11:30:00,249.4028,250.9499,249.38,250.8138,279100,1643830200000
2022-02-02 11:35:00,250.81,251.055,250.3101,250.64,225814,1643830500000
2022-02-02 11:40:00,250.68,252.2,250.68,251.83,452640,1643830800000
2022-02-02 11:45:00,251.8595,252.42,251.28,252.0,369501,1643831100000
2022-02-02 11:50:00,252.0,252.4,251.72,252.1181,307155,1643831400000
2022-02-02 11:55:00,252.0802,252.1367,251.201,251.35,299314,1643831700000
2022-02-02 12:00:00,251.34,252.17,250.47,251.835,437675,1643832000000
2022-02-02 12:05:00,251.8,252.181,251.41,251.65,241387,1643832300000
2022-02-02 12:10:00,251.63,251.96,250.88,251.56,237172,1643832600000
2022-02-02 12:15:00,251.6,252.7099,251.32,252.3996,323168,1643832900000
2022-02-02 12:20:00,252.36,253.28,252.03,252.3,470682,1643833200000
2022-02-02 12:25:00,252.3,252.53,251.02,251.36,373998,1643833500000
2022-02-02 12:30:00,251.3699,251.82,251.03,251.7499,346583,1643833800000
2022-02-02 12:35:00,251.7,252.06,251.06,251.215,367800,1643834100000
2022-02-02 12:40:00,251.24,251.5899,250.73,251.52,423642,1643834400000
2022-02-02 12:45:00,251.55,252.2,251.47,252.1325,405121,1643834700000
2022-02-02 12:50:00,252.09,252.3025,250.99,252.09,526361,1643835000000
2022-02-02 12:55:00,251.9908,252.98,251.9908,252.46,958155,1643835300000
2022-02-03 06:30:00,244.29,245.3899,242.96,244.21,984594,1643898600000
2022-02-03 06:35:00,244.4197,248.36,244.4197,247.7406,702644,1643898900000
2022-02-03 06:40:00,247.75,247.9189,245.95,246.28,527654,1643899200000
2022-02-03 06:45:00,246.24,246.46,244.37,244.99,575278,1643899500000
2022-02-03 06:50:00,244.9746,246.23,244.165,244.65,503203,1643899800000
2022-02-03 06:55:00,244.58,246.16,244.43,245.47,417431,1643900100000
2022-02-03 07:00:00,245.45,246.57,243.6401,246.01,604070,1643900400000
2022-02-03 07:05:00,246.06,247.2899,245.76,247.18,485579,1643900700000
2022-02-03 07:10:00,247.1899,248.839,246.2,248.64,461585,1643901000000
2022-02-03 07:15:00,248.61,249.51,248.4201,249.2096,589250,1643901300000
2022-02-03 07:20:00,249.18,249.99,248.33,248.53,412575,1643901600000
2022-02-03 07:25:00,248.47,250.32,248.22,250.225,399387,1643901900000
2022-02-03 07:30:00,250.23,250.77,248.8104,249.425,485839,1643902200000
2022-02-03 07:35:00,249.47,250.0,248.5,249.0845,314037,1643902500000
2022-02-03 07:40:00,249.0805,249.87,248.2,248.46,255877,1643902800000
2022-02-03 07:45:00,248.6,248.7599,246.5,247.135,498785,1643903100000
2022-02-03 07:50:00,247.1895,249.0,246.9,248.74,291800,1643903400000
2022-02-03 07:55:00,248.74,249.48,247.99,248.265,337143,1643903700000
