date,open,high,low,close,volume,datetime
2022-02-14 06:30:00,346.46,347.76,345.81,347.06,2050831,1644849000000
2022-02-14 06:35:00,347.07,348.15,346.96,347.42,2095972,1644849300000
2022-02-14 06:40:00,347.43,348.42,347.2,347.48,1159848,1644849600000
2022-02-14 06:45:00,347.44,348.63,346.6299,348.42,951386,1644849900000
2022-02-14 06:50:00,348.41,349.55,348.36,349.49,964125,1644850200000
2022-02-14 06:55:00,349.485,349.5,348.11,348.4291,773676,1644850500000
2022-02-14 07:00:00,348.4,348.47,346.4841,346.96,1229008,1644850800000
2022-02-14 07:05:00,346.99,347.49,346.81,347.41,681713,1644851100000
2022-02-14 07:10:00,347.41,348.85,347.27,348.17,1013437,1644851400000
2022-02-14 07:15:00,348.18,348.49,346.74,347.66,1027423,1644851700000
2022-02-14 07:20:00,347.69,348.4001,346.93,348.09,990809,1644852000000
2022-02-14 07:25:00,348.07,348.4,347.32,348.03,874927,1644852300000
2022-02-14 07:30:00,348.03,348.56,346.68,347.09,1046419,1644852600000
2022-02-14 07:35:00,347.07,347.39,346.4,347.13,907657,1644852900000
2022-02-14 07:40:00,347.12,348.41,346.95,348.04,820425,1644853200000
2022-02-14 07:45:00,348.0,349.09,347.86,348.885,783598,1644853500000
2022-02-14 07:50:00,348.89,349.26,347.9,348.43,754572,1644853800000
2022-02-14 07:55:00,348.39,348.83,347.72,348.02,695983,1644854100000
2022-02-14 08:00:00,348.01,348.99,347.66,348.79,669242,1644854400000
2022-02-14 08:05:00,348.76,348.849,348.05,348.43,496195,1644854700000
2022-02-14 08:10:00,348.42,348.7178,347.84,347.98,401433,1644855000000
2022-02-14 08:15:00,348.0,349.78,348.0,349.61,849170,1644855300000
2022-02-14 08:20:00,349.6195,349.98,349.23,349.77,712212,1644855600000
2022-02-14 08:25:00,349.7678,350.569,349.6,350.13,687671,1644855900000
2022-02-14 08:30:00,350.14,350.5,349.25,349.97,1194381,1644856200000
2022-02-14 08:35:00,349.97,350.32,349.07,349.5,544255,1644856500000
2022-02-14 08:40:00,349.4889,349.93,349.21,349.5,495426,1644856800000
2022-02-14 08:45:00,349.52,350.0642,349.43,350.0,478651,1644857100000
2022-02-14 08:50:00,350.0,350.18,349.07,349.2396,434740,1644857400000
2022-02-14 08:55:00,349.26,349.78,349.1,349.66,300435,1644857700000
2022-02-14 09:00:00,349.69,350.28,349.24,349.84,548173,1644858000000
2022-02-14 09:05:00,349.85,350.0,349.36,349.47,377003,1644858300000
2022-02-14 09:10:00,349.6,350.1,349.44,349.94,423415,1644858600000
2022-02-14 09:15:00,349.96,350.31,349.39,349.59,351775,1644858900000
2022-02-14 09:20:00,349.55,350.0,349.53,349.7,243211,1644859200000
2022-02-14 09:25:00,349.74,350.44,349.57,350.43,351637,1644859500000
2022-02-14 09:30:00,350.42,350.98,350.31,350.6415,653197,1644859800000
2022-02-14 09:35:00,350.66,350.73,350.04,350.15,302233,1644860100000
2022-02-14 09:40:00,350.1389,350.49,349.9502,350.27,217213,1644860400000
2022-02-14 09:45:00,350.26,350.65,350.1,350.61,172018,1644860700000
2022-02-14 09:50:00,350.6,350.68,350.3,350.61,257031,1644861000000
2022-02-14 09:55:00,350.57,350.57,349.59,349.87,334479,1644861300000
2022-02-14 10:00:00,349.865,350.05,349.38,349.92,379723,1644861600000
2022-02-14 10:05:00,349.95,350.47,349.88,349.94,299785,1644861900000
2022-02-14 10:10:00,349.98,350.16,349.59,349.68,261444,1644862200000
2022-02-14 10:15:00,349.7,349.92,349.54,349.86,296578,1644862500000
2022-02-14 10:20:00,349.91,349.95,348.47,348.59,425918,1644862800000
2022-02-14 10:25:00,348.5987,348.9,348.52,348.65,350195,1644863100000
2022-02-14 10:30:00,348.65,348.75,347.78,348.22,629884,1644863400000
2022-02-14 10:35:00,348.25,348.5821,347.96,348.25,414562,1644863700000
2022-02-14 10:40:00,348.25,348.4599,347.85,348.2,362119,1644864000000
2022-02-14 10:45:00,348.19,348.36,347.3,347.5,446547,1644864300000
2022-02-14 10:50:00,347.52,347.57,345.39,345.52,1545590,1644864600000
2022-02-14 10:55:00,345.51,346.02,344.77,344.8,1149576,1644864900000
2022-02-14 11:00:00,344.81,345.49,344.41,344.54,1208146,1644865200000
2022-02-14 11:05:00,344.52,344.87,343.89,344.25,1104579,1644865500000
2022-02-14 11:10:00,344.26,345.12,343.89,344.82,743809,1644865800000
2022-02-14 11:15:00,344.8,345.1,344.37,344.98,559900,1644866100000
2022-02-14 11:20:00,344.9801,345.52,344.78,344.855,604109,1644866400000
2022-02-14 11:25:00,344.85,347.47,344.33,346.41,1540272,1644866700000
2022-02-14 11:30:00,346.39,346.99,345.52,346.82,1163330,1644867000000
2022-02-14 11:35:00,346.809,347.08,346.13,346.62,900458,1644867300000
2022-02-14 11:40:00,346.65,347.27,346.23,346.44,1035469,1644867600000
2022-02-14 11:45:00,346.43,346.9,345.88,346.25,747496,1644867900000
2022-02-14 11:50:00,346.26,347.83,346.21,346.98,922180,1644868200000
2022-02-14 11:55:00,346.98,347.31,346.57,347.04,523467,1644868500000
2022-02-14 12:00:00,347.0,347.34,346.5711,346.7401,521365,1644868800000
2022-02-14 12:05:00,346.73,346.97,345.61,346.665,719744,1644869100000
2022-02-14 12:10:00,346.65,347.63,346.11,347.37,672429,1644869400000
2022-02-14 12:15:00,347.38,347.47,346.33,346.5499,551721,1644869700000
2022-02-14 12:20:00,346.56,348.1986,346.0,347.67,796499,1644870000000
2022-02-14 12:25:00,347.68,347.8896,347.1608,347.35,507236,1644870300000
2022-02-14 12:30:00,347.35,348.56,347.15,348.48,740397,1644870600000
2022-02-14 12:35:00,348.49,348.49,347.8,348.01,699237,1644870900000
2022-02-14 12:40:00,348.01,348.29,347.34,348.0,840350,1644871200000
2022-02-14 12:45:00,347.97,348.41,346.8,348.06,988703,1644871500000
2022-02-14 12:50:00,348.03,348.06,346.84,347.69,1497546,1644871800000
2022-02-14 12:55:00,347.65,348.25,347.29,347.67,1894403,1644872100000
2022-02-15 06:30:00,352.91,353.75,352.25,353.64,1513087,1644935400000
2022-02-15 06:35:00,353.62,354.07,353.09,353.48,927841,1644935700000
2022-02-15 06:40:00,353.47,353.77,352.94,353.25,968839,1644936000000
2022-02-15 06:45:00,353.25,353.85,352.59,352.65,1073004,1644936300000
2022-02-15 06:50:00,352.57,353.3,352.22,353.23,915492,1644936600000
2022-02-15 06:55:00,353.2407,353.88,352.94,353.599,776788,1644936900000
2022-02-15 07:00:00,353.6333,354.06,353.24,353.37,730702,1644937200000
2022-02-15 07:05:00,353.36,353.93,353.07,353.52,573795,1644937500000
2022-02-15 07:10:00,353.48,353.525,352.74,353.02,582919,1644937800000
2022-02-15 07:15:00,353.02,353.55,352.9,352.93,672923,1644938100000
2022-02-15 07:20:00,352.96,353.2,352.392,352.91,613230,1644938400000
2022-02-15 07:25:00,352.93,353.53,352.49,353.52,714597,1644938700000
2022-02-15 07:30:00,353.53,353.79,353.31,353.37,530060,1644939000000
2022-02-15 07:35:00,353.36,353.76,352.96,353.6069,506075,1644939300000
2022-02-15 07:40:00,353.62,354.52,353.61,354.52,735309,1644939600000
2022-02-15 07:45:00,354.53,354.7,354.181,354.63,559740,1644939900000
2022-02-15 07:50:00,354.63,354.665,354.27,354.48,402228,1644940200000
2022-02-15 07:55:00,354.48,354.6414,353.92,354.09,669699,1644940500000
2022-02-15 08:00:00,354.11,354.4017,353.98,354.37,421566,1644940800000
2022-02-15 08:05:00,354.37,354.73,353.89,354.6677,596213,1644941100000
2022-02-15 08:10:00,354.66,354.67,354.18,354.28,453635,1644941400000
2022-02-15 08:15:00,354.28,354.56,354.2,354.26,328256,1644941700000
2022-02-15 08:20:00,354.27,354.61,354.23,354.34,532898,1644942000000
2022-02-15 08:25:00,354.34,354.36,353.82,354.055,612571,1644942300000
2022-02-15 08:30:00,354.05,354.45,354.05,354.385,428963,1644942600000
2022-02-15 08:35:00,354.39,354.985,354.31,354.82,553597,1644942900000
2022-02-15 08:40:00,354.81,354.91,354.52,354.565,482293,1644943200000
2022-02-15 08:45:00,354.57,354.89,354.43,354.69,367847,1644943500000
2022-02-15 08:50:00,354.7,354.88,354.62,354.695,293744,1644943800000
2022-02-15 08:55:00,354.7,355.0974,354.603,354.77,384932,1644944100000
2022-02-15 09:00:00,354.78,355.01,354.24,354.46,334969,1644944400000
2022-02-15 09:05:00,354.46,354.6,354.07,354.19,459358,1644944700000
2022-02-15 09:10:00,354.22,354.47,353.92,353.98,268692,1644945000000
2022-02-15 09:15:00,354.0,354.09,353.07,353.2401,676294,1644945300000
